Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
8.22883	57	1	15	LastDelay	0.0146956	14695.6	1	2
8.22883	57	1	15	FullDelay	0.0146956	14695.6	1	2
8.24223	69	1	8	LastDelay	0.0534529	53452.9	1	4
8.24223	69	1	8	FullDelay	3.45345	3.45345e+06	3	4
8.2738	65	1	23	LastDelay	0	0	1	6
8.2738	65	1	23	FullDelay	0	0	1	6
8.32529	53	1	30	LastDelay	0.0403578	40357.8	1	4
8.32529	53	1	30	FullDelay	0.0403578	40357.8	1	4
8.32888	49	1	23	LastDelay	0	0	1	8
8.32888	49	1	23	FullDelay	0	0	1	8
8.39018	61	1	25	LastDelay	0.0847385	84738.5	1	4
8.39018	61	1	25	FullDelay	0.0847385	84738.5	1	4
8.43734	57	1	16	LastDelay	0.0232012	23201.2	1	2
8.43734	57	1	16	FullDelay	0.0232012	23201.2	1	2
8.4738	65	1	24	LastDelay	0	0	1	6
8.4738	65	1	24	FullDelay	0	0	1	6
8.58944	69	1	9	LastDelay	0.200657	200657	1	13
8.58944	69	1	9	FullDelay	3.60066	3.60066e+06	3	13
8.6021	61	1	26	LastDelay	0.0966556	96655.6	1	8
8.6021	61	1	26	FullDelay	0.0966556	96655.6	1	8
8.62881	57	1	17	LastDelay	0.0146706	14670.6	1	2
8.62881	57	1	17	FullDelay	0.0146706	14670.6	1	2
8.6738	65	1	25	LastDelay	0	0	1	4
8.6738	65	1	25	FullDelay	0	0	1	4
8.72888	49	1	25	LastDelay	0	0	1	7
8.72888	49	1	25	FullDelay	0	0	1	7
8.74471	69	1	17	LastDelay	0.155927	155927	1	14
8.74471	69	1	17	FullDelay	1.35593	1.35593e+06	2	14
8.83163	57	1	18	LastDelay	0.017493	17493	1	2
8.83163	57	1	18	FullDelay	0.017493	17493	1	2
8.89708	69	1	21	LastDelay	0.108299	108299	1	14
8.89708	69	1	21	FullDelay	0.108299	108299	1	14
8.98254	61	1	28	LastDelay	0.0770953	77095.3	1	4
8.98254	61	1	28	FullDelay	0.0770953	77095.3	1	4
9.02182	49	1	26	LastDelay	0.0929327	92932.7	1	13
9.02182	49	1	26	FullDelay	0.0929327	92932.7	1	13
9.02866	57	1	19	LastDelay	0.0145232	14523.2	1	2
9.02866	57	1	19	FullDelay	0.0145232	14523.2	1	2
9.04805	69	1	22	LastDelay	0.0592725	59272.5	1	12
9.04805	69	1	22	FullDelay	0.0592725	59272.5	1	12
9.0738	65	1	27	LastDelay	0	0	1	4
9.0738	65	1	27	FullDelay	0	0	1	4
9.12183	53	1	34	LastDelay	0.0368925	36892.5	1	4
9.12183	53	1	34	FullDelay	0.0368925	36892.5	1	4
9.18878	69	1	23	LastDelay	0	0	1	3
9.18878	69	1	23	FullDelay	0	0	1	3
9.20023	61	1	29	LastDelay	0.0947879	94787.9	1	4
9.20023	61	1	29	FullDelay	0.0947879	94787.9	1	4
9.21772	57	1	20	LastDelay	0.00358031	3580.31	1	2
9.21772	57	1	20	FullDelay	0.00358031	3580.31	1	2
9.2738	65	1	28	LastDelay	0	0	1	7
9.2738	65	1	28	FullDelay	0	0	1	7
9.33243	49	1	28	LastDelay	0.00354163	3541.63	1	7
9.33243	49	1	28	FullDelay	0.00354163	3541.63	1	7
9.38028	61	1	30	LastDelay	0.074835	74835	1	4
9.38028	61	1	30	FullDelay	0.074835	74835	1	4
9.42948	57	1	21	LastDelay	0.0153394	15339.4	1	2
9.42948	57	1	21	FullDelay	0.0153394	15339.4	1	2
9.45785	53	1	35	LastDelay	0.172914	172914	1	4
9.45785	53	1	35	FullDelay	0.172914	172914	1	4
9.4738	65	1	29	LastDelay	0	0	1	6
9.4738	65	1	29	FullDelay	0	0	1	6
9.48374	69	1	24	LastDelay	0.0949555	94955.5	1	9
9.48374	69	1	24	FullDelay	0.0949555	94955.5	1	9
9.53245	49	1	29	LastDelay	0.00356764	3567.64	1	8
9.53245	49	1	29	FullDelay	0.00356764	3567.64	1	8
9.54748	53	1	36	LastDelay	0.0625416	62541.6	1	3
9.54748	53	1	36	FullDelay	0.0625416	62541.6	1	3
9.61414	57	1	22	LastDelay	0	0	1	2
9.61414	57	1	22	FullDelay	0	0	1	2
9.63687	45	1	37	LastDelay	0.0320984	32098.4	1	4
9.63687	45	1	37	FullDelay	0.0320984	32098.4	1	4
9.64065	69	1	25	LastDelay	0.0518707	51870.7	1	3
9.64065	69	1	25	FullDelay	0.0518707	51870.7	1	3
9.6738	65	1	30	LastDelay	0	0	1	6
9.6738	65	1	30	FullDelay	0	0	1	6
9.71716	53	1	37	LastDelay	0.0322222	32222.2	1	4
9.71716	53	1	37	FullDelay	0.0322222	32222.2	1	4
9.72888	49	1	30	LastDelay	0	0	1	7
9.72888	49	1	30	FullDelay	0	0	1	7
9.81765	57	1	23	LastDelay	0.00351528	3515.28	1	2
9.81765	57	1	23	FullDelay	0.00351528	3515.28	1	2
9.84652	69	1	26	LastDelay	0.0577399	57739.9	1	3
9.84652	69	1	26	FullDelay	0.0577399	57739.9	1	3
9.85267	45	1	26	LastDelay	1.84789	1.84789e+06	1	3
9.85267	45	1	26	FullDelay	3.04789	3.04789e+06	2	3
9.92627	53	1	38	LastDelay	0.0413373	41337.3	1	5
9.92627	53	1	38	FullDelay	0.0413373	41337.3	1	5
9.92888	49	1	31	LastDelay	0	0	1	7
9.92888	49	1	31	FullDelay	0	0	1	7
9.97544	45	1	38	LastDelay	0.170666	170666	1	4
9.97544	45	1	38	FullDelay	0.170666	170666	1	4
10.0177	57	1	24	LastDelay	0.00356727	3567.27	1	2
10.0177	57	1	24	FullDelay	0.00356727	3567.27	1	2
10.0367	69	1	27	LastDelay	0.0479385	47938.5	1	3
10.0367	69	1	27	FullDelay	0.0479385	47938.5	1	3
10.0398	45	1	27	LastDelay	0.0349837	34983.7	1	3
10.0398	45	1	27	FullDelay	3.03498	3.03498e+06	3	3
10.137	53	1	26	LastDelay	0.0520908	52090.8	1	4
10.137	53	1	26	FullDelay	2.65209	2.65209e+06	2	4
10.1433	65	1	26	LastDelay	0.0694685	69468.5	1	6
10.1433	65	1	26	FullDelay	1.26947	1.26947e+06	2	6
10.1837	61	1	24	LastDelay	0.0782963	78296.3	1	7
10.1837	61	1	24	FullDelay	2.2783	2.2783e+06	2	7
10.1992	49	1	24	LastDelay	0.0703594	70359.4	1	12
10.1992	49	1	24	FullDelay	1.67036	1.67036e+06	2	12
10.2542	69	1	28	LastDelay	0.065456	65456	1	3
10.2542	69	1	28	FullDelay	0.065456	65456	1	3
10.2598	45	1	28	LastDelay	0.0549961	54996.1	1	3
10.2598	45	1	28	FullDelay	3.055	3.055e+06	3	3
10.3202	53	1	31	LastDelay	0.0352918	35291.8	1	4
10.3202	53	1	31	FullDelay	1.83529	1.83529e+06	2	4
10.3371	65	1	31	LastDelay	0.463287	463287	1	8
10.3371	65	1	31	FullDelay	0.463287	463287	1	8
